sysnum,title
001316031,Fredensborg. Det danske Kongehus og dets Slægt. Med Bidrag af danske og fremmede Forfattere og Kunstnere
000209482,"[Sonnets. By E. B. B. [i.e. Elizabeth Barrett Browning.] [Purporting to be the first edition of “Sonnets from the Portuguese,” first published in the 1850 edition of “Poems.”]]"
000129010,"Hyde Park from Domesday-Book to date, etc"
003821060,"The Forgotten Isles. Impressions of travel in the Balearic Isles, Corsica, and Sardinia. Rendered into English by F. Breton. With ... illustrations by the author"
001506560,"The Great Rift Valley. Being the narrative of a journey to Mount Kenya and Lake Baringo. With some account of the geology, natural history, anthropology, and future prospects of British East Africa ... With maps and illustrations"
000489690,[A Treatise on Mine-surveying ... With ... diagrams.]
003775837,"У Болгаръ и заграницей, 1881-1893 ... Продолженіе очерковъ “Дома и на Войнѣ” ... Изданіе второе"
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
000364223,[Black's Guide to the Isle of Man.]
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc"
002535575,Les Châteaux suisses. Anciennes anecdotes et chroniques. Nouvelle édition. Illustrations de H. Van Muyden. [With a portrait.]
000015283,[The Growth of the French Nation.]
002581303,Onze Gouden Eeuw. De Republiek der Vereenigde Nederlanden in haar bloeitijd ... Geïllustreerd onder toezicht van J. H. W. Unger
003605161,Ballads and Songs ... With original illustrations by H. M. Brock
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
002212432,"Tourist guide to the Lofoten Islands, Raftsund ... and through the most picturesque fjords to Tromsø, etc. (Reise-Handbuch für Reisen in Lofoten, etc.) Eng. and Ger"
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill
002581303,Onze Gouden Eeuw. De Republiek der Vereenigde Nederlanden in haar bloeitijd ... Geïllustreerd onder toezicht van J. H. W. Unger
002069499,"The Scales of Heaven: poems, narrative, legendary, and meditative, with a few sonnets"
001470127,Au bas pay du Limosin. Études et tableaux
003344036,Robert Urquhart. [A novel.]
002599224,Изъ исторіи Москвы. 1147-1703. Очерки. Съ 212 рисунками. [By] В. Н. [i.e. by V. Nazarevsky.]
001745619,A History of Rome to the death of Cæsar
002976927,Every-day Characters ... Illustrated by C. Aldin
000115608,“The Cobbler o' Kirkiebrae.” A romance of Galloway
003757808,Baranya multja és jelenje. [With illustrations and a map.]
003605161,Ballads and Songs ... With original illustrations by H. M. Brock
002386709,"The City of Gold. A tale of sport, ... travel, and adventure in the heart of the Dark Continent. With illustrations by H. Piffard"
000492169,[A History of Nottinghamshire.]
001554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc"
000907750,"L'Allemagne, 1789-1810. Fin de l'ancienne Allemagne. [With illustrations.]"
002054014,Geschichte der Stadt Konstanz und ihrer nächsten Umgebung
001939511,The Music of the Poets. A Musician's Birthday Book. Edited by E. d'Esterre-Keeling
002903060,"A Treatise on Ore Deposits ... Second edition, rewritten and greatly enlarged by H. Louis, etc"
001993778,"Memorie per la storia della Liburnica, città di Fiume, etc"
002581303,Onze Gouden Eeuw. De Republiek der Vereenigde Nederlanden in haar bloeitijd ... Geïllustreerd onder toezicht van J. H. W. Unger
003523089,"Chronicles of Strathearn. With illustrations by W. B. Macdougall, etc"
003159008,The Metallurgy of Gold ... Second edition
