sysnum,title,author,date,place
001316031,Fredensborg. Det danske Kongehus og dets Slægt. Med Bidrag af danske og fremmede Forfattere og Kunstnere,,1896,Kjøbenhavn
000209482,"[Sonnets. By E. B. B. [i.e. Elizabeth Barrett Browning.] [Purporting to be the first edition of “Sonnets from the Portuguese,” first published in the 1850 edition of “Poems.”]]","Browning, Elizabeth Barrett",1896,Boston
000129010,"Hyde Park from Domesday-Book to date, etc","ASHTON, John Antiquary",1896,London
003821060,"The Forgotten Isles. Impressions of travel in the Balearic Isles, Corsica, and Sardinia. Rendered into English by F. Breton. With ... illustrations by the author","VUILLIER, Gaston.",1896,London
001506560,"The Great Rift Valley. Being the narrative of a journey to Mount Kenya and Lake Baringo. With some account of the geology, natural history, anthropology, and future prospects of British East Africa ... With maps and illustrations","GREGORY, John Walter.",1896,London
000489690,[A Treatise on Mine-surveying ... With ... diagrams.],"BROUGH, Bennett Hooper.",1896,London
003775837,"У Болгаръ и заграницей, 1881-1893 ... Продолженіе очерковъ “Дома и на Войнѣ” ... Изданіе второе","VERESHCHAGIN, Aleksandr Vasil'evich.",1896,С.-Петербургъ
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill,"BARRETT, Charles Raymond Booth.",1896,London
000364223,[Black's Guide to the Isle of Man.],"BLACK, Adam Publisher, and BLACK (Charles) Publisher",1896,London
001644661,"Kulturgeschichte ... Vierte Auflage. Neu bearbeitet von M. von Brandt [and others], etc","HELLWALD, Friedrich Anton Heller von Baron",1896,Leipzig
002535575,Les Châteaux suisses. Anciennes anecdotes et chroniques. Nouvelle édition. Illustrations de H. Van Muyden. [With a portrait.],"MONTOLIEU, Élisabeth Jeanne Isabelle Pauline de Baroness",1896,Genève
000015283,[The Growth of the French Nation.],"ADAMS, George Burton.",1896,London
002581303,Onze Gouden Eeuw. De Republiek der Vereenigde Nederlanden in haar bloeitijd ... Geïllustreerd onder toezicht van J. H. W. Unger,"MULLER, Pieter Lodewijk.",1896,Leiden
003605161,Ballads and Songs ... With original illustrations by H. M. Brock,"Thackeray, William Makepeace",1896,London
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill,"BARRETT, Charles Raymond Booth.",1896,London
002212432,"Tourist guide to the Lofoten Islands, Raftsund ... and through the most picturesque fjords to Tromsø, etc. (Reise-Handbuch für Reisen in Lofoten, etc.) Eng. and Ger",,1896,Trondhjem
000209253,Battles and Battlefields in England ... Illustrated by the author. With an introduction by H. D. Traill,"BARRETT, Charles Raymond Booth.",1896,London
002581303,Onze Gouden Eeuw. De Republiek der Vereenigde Nederlanden in haar bloeitijd ... Geïllustreerd onder toezicht van J. H. W. Unger,"MULLER, Pieter Lodewijk.",1896,Leiden
002069499,"The Scales of Heaven: poems, narrative, legendary, and meditative, with a few sonnets","LANGBRIDGE, Frederick.",1896,London
001470127,Au bas pay du Limosin. Études et tableaux,"GORSE, M. M.",1896,Paris
003344036,Robert Urquhart. [A novel.],"SETOUN, Gabriel pseud. [i.e. Thomas Nicoll Hepburn.]",1896,London
002599224,Изъ исторіи Москвы. 1147-1703. Очерки. Съ 212 рисунками. [By] В. Н. [i.e. by V. Nazarevsky.],"N., V.",1896,"pp. II. 272. Москва, 1896"
001745619,A History of Rome to the death of Cæsar,"HOW, Walter Wybergh and LEIGH (Henry Devenish)",1896,London
002976927,Every-day Characters ... Illustrated by C. Aldin,"Praed, Winthrop Mackworth",1896,London
