flickrid	enteredtext	from	to	tagid	author	tag	mode
11306870676	sysnum:002174469	1386752400	1389888439	12383156-11306870676-162387773	12403504@N02	sysnum002174469	add
11306870676	LINDLEY, Percy.	1386752400	1389888439	12383156-11306870676-162005156	12403504@N02	lindleypercy	add
11306870676	imagesfromvolume:002174469_0	1386752400	1389888439	12383156-11306870676-166576035	12403504@N02	imagesfromvolume0021744690	add
11306870676	public_domain	1386752400	1389888439	12383156-11306870676-136904	12403504@N02	publicdomain	add
11306870676	imagesfrombook:002174469	1386752400	1389888439	12383156-11306870676-166576025	12403504@N02	imagesfrombook002174469	add
11306870676	date:1885	1386752400	1389888439	12383156-11306870676-148690275	12403504@N02	date1885	add
11306871506	mechanical_curator	1386752400	1389757722	12383156-11306871506-147195664	12403504@N02	mechanicalcurator	add
11306871506	sysnum:001448168	1386752400	1389757722	12383156-11306871506-162353836	12403504@N02	sysnum001448168	add
11306871506	Goethe, Johann Wolfgang von	1386752400	1389757722	12383156-11306871506-23507913	12403504@N02	goethejohannwolfgangvon	add
11306871506	vol:0	1386752400	1389757722	12383156-11306871506-21849367	12403504@N02	vol0	add
11306871506	pubplace:Berlin	1386752400	1389757722	12383156-11306871506-147584454	12403504@N02	pubplaceberlin	add
11306871506	bldigital	1386752400	1389757722	12383156-11306871506-137769045	12403504@N02	bldigital	add
11306871506	imagesfromvolume:001448168_0	1386752400	1389757722	12383156-11306871506-166571324	12403504@N02	imagesfromvolume0014481680	add
11306871506	medium	1386752400	1389757722	12383156-11306871506-20924	12403504@N02	medium	add
11306871506	date:1885	1386752400	1389757722	12383156-11306871506-148690275	12403504@N02	date1885	add
11306871506	public_domain	1386752400	1389757722	12383156-11306871506-136904	12403504@N02	publicdomain	add
11306871506	page:491	1386752400	1389757722	12383156-11306871506-62877538	12403504@N02	page491	add
11306871506	imagesfrombook:001448168	1386752400	1389757722	12383156-11306871506-166571314	12403504@N02	imagesfrombook001448168	add
11306870456	mechanical_curator	1386752400	1389754468	12383156-11306870456-147195664	12403504@N02	mechanicalcurator	add
11306870456	imagesfrombook:002733973	1386752400	1389754468	12383156-11306870456-166569534	12403504@N02	imagesfrombook002733973	add
11306870456	ØVERLAND, Ole Andreas.	1386752400	1389754468	12383156-11306870456-162381033	12403504@N02	øverlandoleandreas	add
11306870456	medium	1386752400	1389754468	12383156-11306870456-20924	12403504@N02	medium	add
11306870456	imagesfromvolume:002733973_01	1386752400	1389754468	12383156-11306870456-166569544	12403504@N02	imagesfromvolume00273397301	add
11306870456	pubplace:Kristiania	1386752400	1389754468	12383156-11306870456-148343214	12403504@N02	pubplacekristiania	add
11306870456	bldigital	1386752400	1389754468	12383156-11306870456-137769045	12403504@N02	bldigital	add
11306870456	vol:01	1386752400	1389754468	12383156-11306870456-1140384	12403504@N02	vol01	add
11306870456	date:1885	1386752400	1389754468	12383156-11306870456-148690275	12403504@N02	date1885	add
11306870456	public_domain	1386752400	1389754468	12383156-11306870456-136904	12403504@N02	publicdomain	add
11306870456	page:253	1386752400	1389754468	12383156-11306870456-65441290	12403504@N02	page253	add
11306870456	sysnum:002733973	1386752400	1389754468	12383156-11306870456-162381023	12403504@N02	sysnum002733973	add
11306871463	mechanical_curator	1386752400	1389705125	12383156-11306871463-147195664	12403504@N02	mechanicalcurator	add
11306871463	imagesfrombook:002733973	1386752400	1389705125	12383156-11306871463-166569534	12403504@N02	imagesfrombook002733973	add
11306871463	ØVERLAND, Ole Andreas.	1386752400	1389705125	12383156-11306871463-162381033	12403504@N02	øverlandoleandreas	add
11306871463	medium	1386752400	1389705125	12383156-11306871463-20924	12403504@N02	medium	add
11306871463	page:53	1386752400	1389705125	12383156-11306871463-22465323	12403504@N02	page53	add
11306871463	imagesfromvolume:002733973_01	1386752400	1389705125	12383156-11306871463-166569544	12403504@N02	imagesfromvolume00273397301	add
11306871463	pubplace:Kristiania	1386752400	1389705125	12383156-11306871463-148343214	12403504@N02	pubplacekristiania	add
11306871463	bldigital	1386752400	1389705125	12383156-11306871463-137769045	12403504@N02	bldigital	add
11306871463	vol:01	1386752400	1389705125	12383156-11306871463-1140384	12403504@N02	vol01	add
11306871463	date:1885	1386752400	1389705125	12383156-11306871463-148690275	12403504@N02	date1885	add
11306871463	public_domain	1386752400	1389705125	12383156-11306871463-136904	12403504@N02	publicdomain	add
11306871463	sysnum:002733973	1386752400	1389705125	12383156-11306871463-162381023	12403504@N02	sysnum002733973	add
11306869743	mechanical_curator	1386752400	1389731048	12383156-11306869743-147195664	12403504@N02	mechanicalcurator	add
11306869743	sysnum:000902742	1386752400	1389731048	12383156-11306869743-162359284	12403504@N02	sysnum000902742	add
11306869743	vol:0	1386752400	1389731048	12383156-11306869743-21849367	12403504@N02	vol0	add
11306869743	imagesfromvolume:000902742_0	1386752400	1389731048	12383156-11306869743-166594243	12403504@N02	imagesfromvolume0009027420	add
11306869743	DE LONG, George Washington.	1386752400	1389731048	12383156-11306869743-162359294	12403504@N02	delonggeorgewashington	add
11306869743	bldigital	1386752400	1389731048	12383156-11306869743-137769045	12403504@N02	bldigital	add
11306869743	medium	1386752400	1389731048	12383156-11306869743-20924	12403504@N02	medium	add
11306869743	date:1885	1386752400	1389731048	12383156-11306869743-148690275	12403504@N02	date1885	add
11306869743	public_domain	1386752400	1389731048	12383156-11306869743-136904	12403504@N02	publicdomain	add
11306869743	imagesfrombook:000902742	1386752400	1389731048	12383156-11306869743-166594233	12403504@N02	imagesfrombook000902742	add
